,Susceptible,Infected,Recovered,Exposed
0,1049,1,0,0
1,1048,1,0,1
2,1048,1,0,1
3,1048,1,0,1
4,1048,1,0,1
5,1048,1,0,1
6,1048,1,0,1
7,1048,1,0,1
8,1048,1,0,1
9,1047,1,0,2
10,1047,1,0,2
11,1047,1,0,2
12,1047,1,0,2
13,1047,1,0,2
14,1046,1,0,3
15,1045,1,0,4
16,1045,1,0,4
17,1045,1,0,4
18,1045,1,0,4
19,1045,1,0,4
20,1045,1,0,4
21,1045,1,0,4
22,1045,1,0,4
23,1045,1,0,4
24,1045,1,0,4
25,1045,1,0,4
26,1044,1,0,5
27,1044,1,0,5
28,1044,1,0,5
29,1044,1,0,5
30,1044,1,0,5
31,1044,1,0,5
32,1044,1,0,5
33,1044,1,0,5
34,1044,1,0,5
35,1044,1,0,5
36,1044,1,0,5
37,1044,1,0,5
38,1043,1,0,6
39,1043,1,0,6
40,1042,1,0,7
41,1041,1,0,8
42,1040,1,0,9
43,1039,1,0,10
44,1039,1,0,10
45,1039,1,0,10
46,1039,1,0,10
47,1039,1,0,10
48,1037,1,0,12
49,1037,1,0,12
50,1035,1,0,14
51,1035,1,0,14
52,1032,1,0,17
53,1031,1,0,18
54,1028,1,0,21
55,1028,1,0,21
56,1028,1,0,21
57,1028,1,0,21
58,1023,1,0,26
59,1023,1,0,26
60,1023,1,0,26
61,1021,1,0,28
62,1019,1,0,30
63,1018,1,0,31
64,1018,1,0,31
65,1016,1,0,33
66,1015,1,0,34
67,1014,1,0,35
68,1011,1,0,38
69,1011,1,0,38
70,1010,1,0,39
71,1010,1,0,39
72,1010,1,0,39
73,1009,1,0,40
74,1007,1,0,42
75,1005,1,0,44
76,1003,1,0,46
77,1003,1,0,46
78,1001,1,0,48
79,1000,1,0,49
80,998,1,0,51
81,995,1,0,54
82,995,1,0,54
83,991,1,0,58
84,990,1,0,59
85,990,1,0,59
86,989,1,0,60
87,987,1,0,62
88,985,1,0,64
89,983,1,0,66
90,983,1,0,66
91,982,1,0,67
92,967,1,0,82
93,964,1,0,85
94,964,1,0,85
95,962,1,0,87
96,960,1,0,89
97,958,1,0,91
98,958,1,0,91
99,954,1,0,95
100,952,1,0,97
101,949,1,0,100
102,943,1,0,106
103,940,1,0,109
104,939,1,0,110
105,938,1,0,111
106,936,1,0,113
107,931,1,0,118
108,931,1,0,118
109,929,1,0,120
110,927,1,0,122
111,924,1,0,125
112,917,1,0,132
113,916,1,0,133
114,914,1,0,135
115,910,1,0,139
116,907,1,0,142
117,901,1,0,148
118,898,1,0,151
119,895,1,0,154
120,891,1,0,158
121,887,1,0,162
122,882,1,0,167
123,880,1,0,169
124,873,1,0,176
125,866,1,0,183
126,859,1,0,190
127,856,1,0,193
128,850,1,0,199
129,843,1,0,206
130,827,1,0,222
131,802,1,0,247
132,786,1,0,263
133,782,1,0,267
134,777,1,0,272
135,768,1,0,281
136,761,1,0,288
137,756,1,0,293
138,752,1,0,297
139,745,1,0,304
140,739,1,0,310
141,738,1,0,311
142,732,1,0,317
143,720,1,0,329
144,714,1,0,335
145,707,1,0,342
146,702,1,0,347
147,701,1,0,348
148,700,1,0,349
149,698,1,0,351
150,696,1,0,353
151,686,1,0,363
152,676,1,0,373
153,665,1,0,384
154,656,1,0,393
155,651,1,0,398
156,643,1,0,406
157,639,1,0,410
158,631,1,0,418
159,622,1,0,427
160,616,1,0,433
161,608,1,0,441
162,594,1,0,455
163,590,1,0,459
164,578,1,0,471
165,571,1,0,478
166,560,1,0,489
167,552,1,0,497
168,542,1,0,507
169,514,1,0,535
170,480,1,0,569
171,445,1,0,604
172,445,1,0,604
173,440,1,0,609
174,428,1,0,621
175,423,1,0,626
176,414,1,0,635
177,410,1,0,639
178,402,1,0,647
179,387,1,0,662
180,380,1,0,669
181,375,1,0,674
182,364,1,0,685
183,358,1,0,691
184,353,1,0,696
185,346,1,0,703
186,346,1,0,703
187,346,1,0,703
188,342,1,0,707
189,340,1,0,709
190,331,1,0,718
191,326,1,0,723
192,317,1,0,732
193,313,1,0,736
194,306,1,0,743
195,293,1,0,756
196,285,2,0,763
197,281,2,0,767
198,275,2,0,773
199,270,2,0,778
200,265,2,0,783
201,257,2,0,791
202,252,2,0,796
203,249,2,0,799
204,244,3,0,803
205,240,3,0,807
206,232,3,0,815
207,225,3,0,822
208,205,3,0,842
209,169,4,0,877
210,157,5,0,888
211,157,5,0,888
212,154,5,0,891
213,152,5,0,893
214,144,5,0,901
215,141,5,0,904
216,136,5,0,909
217,134,5,0,911
218,132,5,0,913
219,130,5,0,915
220,126,5,0,919
221,123,5,0,922
222,122,6,0,922
223,117,6,0,927
224,112,6,0,932
225,112,6,0,932
226,112,6,0,932
227,112,6,0,932
228,112,6,0,932
229,109,6,0,935
230,104,6,0,940
231,102,6,0,942
232,100,6,0,944
233,99,6,0,945
234,96,7,0,947
235,93,8,0,949
236,90,9,0,951
237,88,10,0,952
238,86,10,0,954
239,84,11,0,955
240,81,11,0,958
241,80,11,0,959
242,79,11,0,960
243,77,11,0,962
244,77,13,0,960
245,75,14,0,961
246,74,15,0,961
247,70,15,0,965
248,62,19,0,969
249,53,20,0,977
250,53,22,0,975
251,51,22,0,977
252,49,22,0,979
253,46,23,0,981
254,45,27,0,978
255,45,27,0,978
256,45,28,0,977
257,40,31,0,979
258,40,32,0,978
259,39,32,0,979
260,38,34,0,978
261,38,35,0,977
262,38,36,0,976
263,37,37,0,976
264,37,39,0,974
265,37,39,0,974
266,36,40,0,974
267,35,40,0,975
268,34,40,0,976
269,32,41,0,977
270,29,45,0,976
271,25,45,0,980
272,25,47,0,978
273,24,49,0,977
274,24,49,1,976
275,23,50,1,976
276,20,53,1,976
277,20,54,1,975
278,19,55,1,975
279,19,58,1,972
280,18,59,1,972
281,17,59,1,973
282,17,60,1,972
283,17,62,1,970
284,16,65,1,968
285,16,66,1,967
286,16,66,1,967
287,13,75,1,961
288,12,85,1,952
289,12,85,1,952
290,12,86,1,951
291,12,88,1,949
292,12,90,1,947
293,12,91,1,946
294,11,92,1,946
295,11,96,1,942
296,11,98,1,940
297,11,102,1,936
298,11,109,1,929
299,11,110,1,928
300,11,111,1,927
301,11,111,1,927
302,11,115,1,923
303,11,118,1,920
304,11,119,1,919
305,11,122,1,916
306,11,122,1,916
307,11,128,1,910
308,11,133,1,905
309,11,134,1,904
310,11,137,1,901
311,11,140,1,898
312,11,146,1,892
313,10,150,1,889
314,10,152,1,887
315,9,154,1,886
316,9,159,1,881
317,7,165,1,877
318,6,168,1,875
319,6,172,1,871
320,6,179,1,864
321,6,186,1,857
322,6,191,1,852
323,4,197,1,848
324,4,203,1,842
325,4,206,1,839
326,4,236,1,809
327,3,254,1,792
328,3,263,1,783
329,3,270,1,776
330,3,277,1,769
331,3,285,1,761
332,3,293,1,753
333,3,295,1,751
334,3,299,1,747
335,3,308,1,738
336,3,311,1,735
337,3,313,1,733
338,2,325,1,722
339,2,330,1,717
340,2,336,1,711
341,2,347,1,700
342,2,347,1,700
343,2,349,1,698
344,2,350,1,697
345,1,351,1,697
346,1,360,1,688
347,1,368,1,680
348,1,376,1,672
349,1,387,1,661
350,1,394,1,654
351,1,403,1,645
352,1,409,1,639
353,1,414,1,634
354,1,425,1,623
355,1,429,1,619
356,1,437,1,611
357,1,447,1,601
358,0,458,1,591
359,0,468,1,581
360,0,473,1,576
361,0,486,1,563
362,0,491,1,558
363,0,502,1,547
364,0,507,1,542
365,0,551,1,498
366,0,588,1,461
367,0,604,1,445
368,0,607,1,442
369,0,617,1,432
370,0,624,1,425
371,0,629,1,420
372,0,637,1,412
373,0,646,1,403
374,0,656,1,393
375,0,667,1,382
376,0,673,1,376
377,0,679,1,370
378,0,688,1,361
379,0,694,1,355
380,0,700,1,349
381,0,703,1,346
382,0,703,1,346
383,0,705,1,344
384,0,707,1,342
385,0,715,1,334
386,0,722,1,327
387,0,728,1,321
388,0,734,1,315
389,0,740,1,309
390,0,750,1,299
391,0,761,1,288
392,0,766,1,283
393,0,771,1,278
394,0,777,1,272
395,0,783,1,266
396,0,790,1,259
397,0,794,1,255
398,0,797,1,252
399,0,804,1,245
400,0,808,1,241
401,0,813,1,236
402,0,820,1,229
403,0,824,1,225
404,0,862,1,187
405,0,883,1,166
406,0,892,1,157
407,0,893,1,156
408,0,896,1,153
409,0,902,1,147
410,0,907,1,142
411,0,911,1,138
412,0,915,1,134
413,0,916,1,133
414,0,917,1,132
415,0,921,1,128
416,0,926,1,123
417,0,927,1,122
418,0,930,1,119
419,0,933,1,116
420,0,937,1,112
421,0,937,1,112
422,0,937,1,112
423,0,937,1,112
424,0,938,1,111
425,0,942,1,107
426,0,946,1,103
427,0,948,1,101
428,0,950,1,99
429,0,950,1,99
430,0,954,1,95
431,0,957,1,92
432,0,959,1,90
433,0,962,1,87
434,0,964,1,85
435,0,967,1,82
436,0,969,1,80
437,0,969,1,80
438,0,971,1,78
439,0,972,1,77
440,0,973,1,76
441,0,974,1,75
442,0,975,1,74
443,0,983,1,66
444,0,993,1,56
445,0,996,1,53
446,0,996,1,53
447,0,999,1,50
448,0,1000,1,49
449,0,1003,1,46
450,0,1004,1,45
451,0,1004,1,45
452,0,1005,1,44
453,0,1009,1,40
454,0,1009,1,40
455,0,1010,1,39
456,0,1011,1,38
457,0,1011,1,38
458,0,1011,1,38
459,0,1012,1,37
460,0,1012,1,37
461,0,1013,1,36
462,0,1013,1,36
463,0,1014,1,35
464,0,1016,1,33
465,0,1019,1,30
466,0,1022,1,27
467,0,1024,1,25
468,0,1025,1,24
469,0,1024,2,24
470,0,1025,2,23
471,0,1027,2,21
472,0,1028,2,20
473,0,1029,2,19
474,0,1029,2,19
475,0,1029,2,19
476,0,1031,2,17
477,0,1030,3,17
478,0,1030,3,17
479,0,1030,3,17
480,0,1031,3,16
481,0,1031,3,16
482,0,1032,4,14
483,0,1032,5,13
484,0,1033,5,12
485,0,1033,5,12
486,0,1033,5,12
487,0,1033,5,12
488,0,1033,5,12
489,0,1034,5,11
490,0,1034,5,11
491,0,1034,5,11
492,0,1034,5,11
493,0,1034,5,11
494,0,1034,5,11
495,0,1033,6,11
496,0,1033,6,11
497,0,1033,6,11
498,0,1033,6,11
499,0,1033,6,11
500,0,1033,6,11
501,0,1033,6,11
502,0,1033,6,11
503,0,1033,6,11
504,0,1033,6,11
505,0,1033,6,11
506,0,1033,6,11
507,0,1032,7,11
508,0,1031,8,11
509,0,1031,9,10
510,0,1031,10,9
511,0,1031,10,9
512,0,1030,11,9
513,0,1032,11,7
514,0,1033,11,6
515,0,1033,11,6
516,0,1033,11,6
517,0,1031,13,6
518,0,1031,14,5
519,0,1031,15,4
520,0,1031,15,4
521,0,1027,19,4
522,0,1026,20,4
523,0,1025,22,3
524,0,1025,22,3
525,0,1025,22,3
526,0,1024,23,3
527,0,1020,27,3
528,0,1020,27,3
529,0,1019,28,3
530,0,1016,31,3
531,0,1015,32,3
532,0,1015,32,3
533,0,1013,34,3
534,0,1013,35,2
535,0,1012,36,2
536,0,1011,37,2
537,0,1009,39,2
538,0,1009,39,2
539,0,1008,40,2
540,0,1008,40,2
541,0,1009,40,1
542,0,1008,41,1
543,0,1004,45,1
544,0,1004,45,1
545,0,1002,47,1
546,0,1000,49,1
547,0,999,50,1
548,0,998,51,1
549,0,995,54,1
550,0,994,55,1
551,0,993,56,1
552,0,990,59,1
553,0,990,60,0
554,0,990,60,0
555,0,989,61,0
556,0,987,63,0
557,0,984,66,0
558,0,983,67,0
559,0,983,67,0
560,0,974,76,0
561,0,964,86,0
562,0,964,86,0
563,0,963,87,0
564,0,961,89,0
565,0,959,91,0
566,0,958,92,0
567,0,957,93,0
568,0,953,97,0
569,0,951,99,0
570,0,947,103,0
571,0,940,110,0
572,0,939,111,0
573,0,938,112,0
574,0,938,112,0
575,0,934,116,0
