,Susceptible,Infected,Recovered,Exposed
0,1049,1,0,0
1,1048,1,0,1
2,1048,1,0,1
3,1048,1,0,1
4,1048,1,0,1
5,1047,1,0,2
6,1046,1,0,3
7,1046,1,0,3
8,1046,1,0,3
9,1046,1,0,3
10,1045,1,0,4
11,1045,1,0,4
12,1045,1,0,4
13,1045,1,0,4
14,1045,1,0,4
15,1045,1,0,4
16,1045,1,0,4
17,1045,1,0,4
18,1045,1,0,4
19,1045,1,0,4
20,1045,1,0,4
21,1045,1,0,4
22,1045,1,0,4
23,1045,1,0,4
24,1045,1,0,4
25,1045,1,0,4
26,1045,1,0,4
27,1045,1,0,4
28,1045,1,0,4
29,1045,1,0,4
30,1045,1,0,4
31,1045,1,0,4
32,1044,1,0,5
33,1044,1,0,5
34,1044,1,0,5
35,1044,1,0,5
36,1044,1,0,5
37,1044,1,0,5
38,1044,1,0,5
39,1044,1,0,5
40,1044,1,0,5
41,1043,1,0,6
42,1043,1,0,6
43,1043,1,0,6
44,1043,1,0,6
45,1043,1,0,6
46,1043,1,0,6
47,1043,1,0,6
48,1043,1,0,6
49,1043,1,0,6
50,1043,1,0,6
51,1043,1,0,6
52,1043,1,0,6
53,1043,1,0,6
54,1043,1,0,6
55,1042,1,0,7
56,1042,1,0,7
57,1042,1,0,7
58,1042,1,0,7
59,1042,1,0,7
60,1042,1,0,7
61,1042,1,0,7
62,1042,1,0,7
63,1042,1,0,7
64,1042,1,0,7
65,1042,1,0,7
66,1041,1,0,8
67,1041,1,0,8
68,1041,1,0,8
69,1041,1,0,8
70,1041,1,0,8
71,1041,1,0,8
72,1041,1,0,8
73,1041,1,0,8
74,1041,1,0,8
75,1041,1,0,8
76,1041,1,0,8
77,1041,1,0,8
78,1041,1,0,8
79,1041,1,0,8
80,1041,1,0,8
81,1041,1,0,8
82,1039,1,0,10
83,1039,1,0,10
84,1039,1,0,10
85,1039,1,0,10
86,1038,1,0,11
87,1038,1,0,11
88,1038,1,0,11
89,1038,1,0,11
90,1038,1,0,11
91,1038,1,0,11
92,1037,1,0,12
93,1037,1,0,12
94,1036,1,0,13
95,1036,1,0,13
96,1035,1,0,14
97,1035,1,0,14
98,1035,1,0,14
99,1032,1,0,17
100,1032,1,0,17
101,1032,1,0,17
102,1032,1,0,17
103,1032,1,0,17
104,1032,1,0,17
105,1032,1,0,17
106,1032,1,0,17
107,1031,1,0,18
108,1031,1,0,18
109,1031,1,0,18
110,1030,1,0,19
111,1030,1,0,19
112,1029,1,0,20
113,1028,1,0,21
114,1028,1,0,21
115,1026,1,0,23
116,1025,1,0,24
117,1025,1,0,24
118,1023,1,0,26
119,1023,1,0,26
120,1023,1,0,26
121,1023,1,0,26
122,1023,1,0,26
123,1023,1,0,26
124,1022,1,0,27
125,1022,1,0,27
126,1022,1,0,27
127,1022,1,0,27
128,1022,1,0,27
129,1022,1,0,27
130,1021,1,0,28
131,1019,1,0,30
132,1015,1,0,34
133,1015,1,0,34
134,1015,1,0,34
135,1015,1,0,34
136,1015,1,0,34
137,1015,1,0,34
138,1013,1,0,36
139,1011,1,0,38
140,1009,1,0,40
141,1009,1,0,40
142,1007,1,0,42
143,1007,1,0,42
144,1007,1,0,42
145,1007,1,0,42
146,1007,1,0,42
147,1007,1,0,42
148,1007,1,0,42
149,1007,1,0,42
150,1007,1,0,42
151,1006,1,0,43
152,1004,1,0,45
153,1003,1,0,46
154,1003,1,0,46
155,1003,1,0,46
156,1003,1,0,46
157,1002,1,0,47
158,999,1,0,50
159,999,1,0,50
160,998,1,0,51
161,998,1,0,51
162,997,1,0,52
163,996,1,0,53
164,995,1,0,54
165,995,1,0,54
166,995,1,0,54
167,994,1,0,55
168,994,1,0,55
169,992,1,0,57
170,989,1,0,60
171,988,1,0,61
172,987,1,0,62
173,987,1,0,62
174,987,1,0,62
175,987,1,0,62
176,986,1,0,63
177,986,1,0,63
178,986,1,0,63
179,985,1,0,64
180,983,1,0,66
181,980,1,0,69
182,980,1,0,69
183,979,1,0,70
184,979,1,0,70
185,978,1,0,71
186,978,1,0,71
187,978,1,0,71
188,978,1,0,71
189,978,1,0,71
190,976,1,0,73
191,975,1,0,74
192,974,1,0,75
193,973,1,0,76
194,973,1,0,76
195,973,1,0,76
196,971,2,0,77
197,971,2,0,77
198,971,2,0,77
199,970,2,0,78
200,969,2,0,79
201,968,3,0,79
202,967,4,0,79
203,964,4,0,82
204,963,4,0,83
205,962,5,0,83
206,960,5,0,85
207,959,5,0,86
208,957,5,0,88
209,953,5,0,92
210,948,5,0,97
211,946,5,0,99
212,945,5,0,100
213,944,5,0,101
214,941,5,0,104
215,940,5,0,105
216,940,5,0,105
217,938,5,0,107
218,938,5,0,107
219,936,5,0,109
220,935,5,0,110
221,934,5,0,111
222,933,5,0,112
223,931,5,0,114
224,931,5,0,114
225,931,5,0,114
226,931,5,0,114
227,931,6,0,113
228,930,6,0,114
229,928,6,0,116
230,927,6,0,117
231,926,6,0,118
232,926,6,0,118
233,924,6,0,120
234,923,6,0,121
235,922,6,0,122
236,922,6,0,122
237,921,7,0,122
238,917,7,0,126
239,914,7,0,129
240,913,7,0,130
241,911,7,0,132
242,911,7,0,132
243,910,7,0,133
244,907,7,0,136
245,901,7,0,142
246,899,7,0,144
247,894,7,0,149
248,882,7,0,161
249,877,7,0,166
250,875,7,0,168
251,873,8,0,169
252,872,8,0,170
253,869,8,0,173
254,866,8,0,176
255,863,8,0,179
256,863,8,0,179
257,860,8,0,182
258,859,8,0,183
259,858,8,0,184
260,855,8,0,187
261,850,8,0,192
262,845,9,0,196
263,842,9,0,199
264,842,9,0,199
265,840,9,0,201
266,840,9,0,201
267,838,9,0,203
268,837,9,0,204
269,835,9,0,206
270,831,9,0,210
271,829,9,0,212
272,827,9,0,214
273,825,9,0,216
274,819,8,1,222
275,815,8,1,226
276,812,8,1,229
277,810,9,1,230
278,809,10,1,230
279,806,10,1,233
280,803,10,1,236
281,803,10,1,236
282,802,11,1,236
283,799,11,1,239
284,797,11,1,241
285,795,11,1,243
286,784,11,1,254
287,767,11,1,271
288,758,12,1,279
289,758,12,1,279
290,750,13,1,286
291,746,14,1,289
292,746,14,1,289
293,742,14,1,293
294,739,16,1,294
295,735,17,1,297
296,730,17,1,302
297,727,17,1,305
298,724,17,1,308
299,722,17,1,310
300,719,17,1,313
301,718,17,1,314
302,715,17,1,317
303,714,18,1,317
304,713,18,1,318
305,712,19,1,318
306,709,19,1,321
307,704,20,1,325
308,702,20,1,327
309,698,21,1,330
310,696,23,1,330
311,691,23,1,335
312,687,24,1,338
313,684,24,1,341
314,683,26,1,340
315,680,26,1,343
316,676,26,1,347
317,675,26,1,348
318,670,26,1,353
319,666,27,1,356
320,663,27,1,359
321,660,27,1,362
322,655,27,1,367
323,653,27,1,369
324,651,27,1,371
325,646,27,1,376
326,629,29,1,391
327,614,34,1,401
328,611,34,1,404
329,607,34,1,408
330,603,34,1,412
331,599,34,1,416
332,596,34,1,419
333,593,35,1,421
334,590,37,1,422
335,585,39,1,425
336,583,40,1,426
337,580,41,1,428
338,574,42,1,433
339,568,42,1,439
340,566,42,1,441
341,565,42,1,442
342,565,42,1,442
343,562,42,1,445
344,561,42,1,446
345,561,42,1,446
346,557,43,1,449
347,551,45,1,453
348,548,45,1,456
349,547,46,1,456
350,543,46,1,460
351,538,46,1,465
352,535,46,1,468
353,533,48,1,468
354,527,50,1,472
355,523,50,1,476
356,513,51,1,485
357,510,51,1,488
358,507,53,1,489
359,503,54,1,492
360,501,54,1,494
361,497,54,1,498
362,494,54,1,501
363,488,55,1,506
364,480,55,1,514
365,460,59,1,530
366,439,60,1,550
367,436,61,1,552
368,431,62,1,556
369,427,62,1,560
370,423,62,1,564
371,418,62,1,569
372,416,63,1,570
373,414,63,1,572
374,408,64,1,577
375,407,64,1,578
376,404,68,1,577
377,402,69,1,578
378,399,70,1,580
379,398,70,1,581
380,392,70,1,587
381,391,71,1,587
382,390,71,1,588
383,390,71,1,588
384,389,71,1,589
385,387,71,1,591
386,384,73,1,592
387,381,74,1,594
388,380,76,1,593
389,372,76,1,601
390,368,76,1,605
391,364,78,1,607
392,361,78,1,610
393,355,78,1,616
394,350,78,1,621
395,346,80,1,623
396,344,81,1,624
397,341,82,1,626
398,338,84,1,627
399,337,85,1,627
400,334,86,1,629
401,333,88,1,628
402,330,90,1,629
403,318,90,1,641
404,301,93,1,655
405,291,97,1,661
406,288,101,1,660
407,284,104,1,661
408,281,105,1,663
409,279,105,1,665
410,277,108,1,664
411,271,109,1,669
412,269,111,1,669
413,269,111,1,669
414,265,112,1,672
415,258,113,1,678
416,255,115,1,679
417,251,116,1,682
418,245,117,1,687
419,242,118,1,689
420,242,118,1,689
421,242,118,1,689
422,242,118,1,689
423,240,118,1,691
424,236,120,1,693
425,235,122,1,692
426,230,122,1,697
427,226,123,1,700
428,225,123,1,701
429,224,126,1,699
430,223,126,1,700
431,220,127,1,702
432,218,128,1,703
433,217,129,1,703
434,215,133,1,701
435,214,135,1,700
436,211,137,1,701
437,209,138,1,702
438,207,138,1,704
439,202,140,1,707
440,201,144,1,704
441,199,150,1,700
442,189,150,1,710
443,178,162,1,709
444,171,169,1,709
445,168,172,1,709
446,160,174,1,715
447,156,177,1,716
448,150,179,1,720
449,147,182,1,720
450,144,184,1,721
451,140,186,1,723
452,136,188,1,725
453,130,189,1,730
454,130,191,1,728
455,128,193,1,728
456,125,195,1,729
457,120,203,1,726
458,116,204,1,729
459,116,207,1,726
460,116,209,1,724
461,116,209,1,724
462,114,209,1,726
463,113,211,1,725
464,109,213,1,727
465,106,215,1,728
466,104,218,1,727
467,101,222,1,726
468,100,222,1,727
469,98,227,2,723
470,95,231,2,722
471,93,235,2,720
472,92,238,2,718
473,90,239,2,719
474,89,238,3,720
475,87,241,4,718
476,86,243,4,717
477,84,244,4,718
478,82,244,5,719
479,79,248,5,718
480,78,248,5,719
481,70,250,5,725
482,58,268,5,719
483,49,281,5,715
484,49,287,5,709
485,46,289,5,710
486,46,297,5,702
487,46,299,5,700
488,43,299,5,703
489,42,305,5,698
490,42,308,5,695
491,41,311,5,693
492,39,317,5,689
493,39,318,5,688
494,39,322,5,684
495,38,326,5,681
496,37,326,5,682
497,37,327,5,681
498,37,330,5,678
499,37,332,5,676
500,37,331,6,676
501,37,332,6,675
502,36,338,6,670
503,36,342,6,666
504,36,345,6,663
505,36,347,6,661
506,36,350,6,658
507,35,354,6,655
508,35,358,6,651
509,35,361,6,648
510,34,361,7,648
511,34,367,7,642
512,34,368,7,641
513,31,370,7,642
514,31,376,7,636
515,30,379,7,634
516,30,382,7,631
517,27,387,7,629
518,27,389,7,627
519,27,392,7,624
520,26,392,7,625
521,22,407,7,614
522,20,419,7,604
523,20,429,7,594
524,20,431,8,591
525,20,438,8,584
526,19,441,8,582
527,19,444,8,579
528,19,448,8,575
529,18,452,8,572
530,15,455,8,572
531,15,459,8,568
532,15,461,8,566
533,14,465,8,563
534,13,470,8,559
535,13,475,9,553
536,12,476,9,553
537,12,476,9,553
538,12,479,9,550
539,12,479,9,550
540,12,480,9,549
541,12,482,9,547
542,12,487,9,542
543,11,491,9,539
544,11,493,9,537
545,10,497,9,534
546,10,499,9,532
547,10,504,9,527
548,10,508,9,523
549,10,511,9,520
550,10,514,10,516
551,10,521,11,508
552,10,528,11,501
553,10,529,11,500
554,10,535,11,494
555,10,537,12,491
556,9,540,12,489
557,8,544,12,486
558,6,547,12,485
559,5,550,12,483
560,4,568,12,466
561,3,590,13,444
562,3,598,13,436
563,3,600,14,433
564,2,605,15,428
565,2,611,15,422
566,2,616,15,417
567,2,616,17,415
568,2,617,18,413
569,2,622,18,408
570,2,624,18,406
571,2,627,18,403
572,2,629,18,401
573,2,630,18,400
574,2,633,18,397
575,2,639,18,391
576,2,639,19,390
577,2,640,19,389
