,Susceptible,Infected,Recovered,Exposed
0,1049,1,0,0
1,1049,1,0,0
2,1049,1,0,0
3,1049,1,0,0
4,1049,1,0,0
5,1049,1,0,0
6,1049,1,0,0
7,1049,1,0,0
8,1049,1,0,0
9,1049,1,0,0
10,1049,1,0,0
11,1049,1,0,0
12,1049,1,0,0
13,1049,1,0,0
14,1049,1,0,0
15,1049,1,0,0
16,1049,1,0,0
17,1049,1,0,0
18,1048,1,0,1
19,1048,1,0,1
20,1048,1,0,1
21,1048,1,0,1
22,1048,1,0,1
23,1048,1,0,1
24,1047,1,0,2
25,1047,1,0,2
26,1047,1,0,2
27,1047,1,0,2
28,1047,1,0,2
29,1047,1,0,2
30,1047,1,0,2
31,1047,1,0,2
32,1047,1,0,2
33,1047,1,0,2
34,1047,1,0,2
35,1047,1,0,2
36,1047,1,0,2
37,1047,1,0,2
38,1047,1,0,2
39,1047,1,0,2
40,1047,1,0,2
41,1047,1,0,2
42,1047,1,0,2
43,1047,1,0,2
44,1047,1,0,2
45,1047,1,0,2
46,1047,1,0,2
47,1047,1,0,2
48,1047,1,0,2
49,1046,1,0,3
50,1046,1,0,3
51,1046,1,0,3
52,1046,1,0,3
53,1046,1,0,3
54,1045,1,0,4
55,1045,1,0,4
56,1044,1,0,5
57,1044,1,0,5
58,1044,1,0,5
59,1044,1,0,5
60,1044,1,0,5
61,1044,1,0,5
62,1044,1,0,5
63,1044,1,0,5
64,1043,1,0,6
65,1043,1,0,6
66,1043,1,0,6
67,1043,1,0,6
68,1043,1,0,6
69,1043,1,0,6
70,1043,1,0,6
71,1043,1,0,6
72,1042,1,0,7
73,1042,1,0,7
74,1042,1,0,7
75,1042,1,0,7
76,1042,1,0,7
77,1041,1,0,8
78,1041,1,0,8
79,1041,1,0,8
80,1041,1,0,8
81,1041,1,0,8
82,1041,1,0,8
83,1041,1,0,8
84,1041,1,0,8
85,1041,1,0,8
86,1041,1,0,8
87,1041,1,0,8
88,1041,1,0,8
89,1040,1,0,9
90,1040,1,0,9
91,1040,1,0,9
92,1040,1,0,9
93,1040,1,0,9
94,1040,1,0,9
95,1040,1,0,9
96,1040,1,0,9
97,1040,1,0,9
98,1040,1,0,9
99,1040,1,0,9
100,1039,1,0,10
101,1039,1,0,10
102,1039,1,0,10
103,1039,1,0,10
104,1039,1,0,10
105,1039,1,0,10
106,1039,1,0,10
107,1039,1,0,10
108,1039,1,0,10
109,1039,1,0,10
110,1039,1,0,10
111,1039,1,0,10
112,1039,1,0,10
113,1039,1,0,10
114,1039,1,0,10
115,1039,1,0,10
116,1039,1,0,10
117,1039,1,0,10
118,1039,1,0,10
119,1039,1,0,10
120,1039,1,0,10
121,1039,1,0,10
122,1039,1,0,10
123,1039,1,0,10
124,1039,1,0,10
125,1039,1,0,10
126,1039,1,0,10
127,1039,1,0,10
128,1039,1,0,10
129,1039,1,0,10
130,1039,1,0,10
131,1039,1,0,10
132,1039,1,0,10
133,1039,1,0,10
134,1039,1,0,10
135,1039,1,0,10
136,1039,1,0,10
137,1039,1,0,10
138,1039,1,0,10
139,1039,1,0,10
140,1039,1,0,10
141,1039,1,0,10
142,1039,1,0,10
143,1039,2,0,9
144,1039,2,0,9
145,1039,2,0,9
146,1039,2,0,9
147,1039,2,0,9
