,0
0,1.0530973451327434
1,3.5132743362831858
2,6.035398230088496
3,10.283185840707965
4,16.398230088495577
5,24.56637168141593
6,36.73451327433628
7,55.06194690265487
8,79.05309734513274
9,112.30088495575221
10,156.38938053097345
11,213.0353982300885
12,287.05309734513276
13,378.070796460177
14,482.46017699115043
15,595.8495575221239
16,705.9823008849557
17,807.0265486725664
18,889.9380530973451
19,951.787610619469
20,995.4690265486726
21,1022.2743362831858
22,1036.7787610619469
23,1044.0619469026549
24,1047.6371681415928
25,1049.3185840707965
26,1049.7433628318583
27,1049.9203539823009
28,1049.9646017699115
29,1049.9911504424779
30,1050.0
31,1050.0
32,1050.0
