,0
0,1.0413223140495869
1,3.9917355371900825
2,7.2727272727272725
3,12.818181818181818
4,20.677685950413224
5,31.826446280991735
6,48.85123966942149
7,75.80165289256199
8,115.0
9,170.76859504132233
10,248.03305785123968
11,344.22314049586777
12,459.59504132231405
13,587.8512396694215
14,713.595041322314
15,824.6280991735537
16,913.3636363636364
17,975.5289256198347
18,1012.99173553719
19,1033.5371900826447
20,1043.1570247933885
21,1047.603305785124
22,1049.2561983471073
23,1049.809917355372
24,1049.9421487603306
25,1049.9669421487604
26,1049.9669421487604
27,1049.9669421487604
28,1049.98347107438
29,1049.98347107438
30,1049.98347107438
