,Susceptible,Infected,Recovered,Exposed
0,1049,1,0,0
1,1049,1,0,0
2,1049,1,0,0
3,1049,1,0,0
4,1049,1,0,0
5,1049,1,0,0
6,1049,1,0,0
7,1048,1,0,1
8,1048,1,0,1
9,1048,1,0,1
10,1047,1,0,2
11,1047,1,0,2
12,1047,1,0,2
13,1047,1,0,2
14,1045,1,0,4
15,1045,1,0,4
16,1045,1,0,4
17,1045,1,0,4
18,1045,1,0,4
19,1045,1,0,4
20,1045,1,0,4
21,1045,1,0,4
22,1045,1,0,4
23,1045,1,0,4
24,1045,1,0,4
25,1045,1,0,4
26,1045,1,0,4
27,1045,1,0,4
28,1045,1,0,4
29,1044,1,0,5
30,1044,1,0,5
31,1044,1,0,5
32,1044,1,0,5
33,1044,1,0,5
34,1044,1,0,5
35,1044,1,0,5
36,1044,1,0,5
37,1044,1,0,5
38,1044,1,0,5
39,1044,1,0,5
40,1043,1,0,6
41,1043,1,0,6
42,1043,1,0,6
43,1043,1,0,6
44,1042,1,0,7
45,1041,1,0,8
46,1041,1,0,8
47,1041,1,0,8
48,1041,1,0,8
49,1041,1,0,8
50,1041,1,0,8
51,1041,1,0,8
52,1040,1,0,9
53,1040,1,0,9
54,1040,1,0,9
55,1039,1,0,10
56,1039,1,0,10
57,1039,1,0,10
58,1039,1,0,10
59,1039,1,0,10
60,1039,1,0,10
61,1039,1,0,10
62,1039,1,0,10
63,1039,1,0,10
64,1038,1,0,11
65,1038,1,0,11
66,1038,1,0,11
67,1038,1,0,11
68,1038,1,0,11
69,1038,1,0,11
70,1038,1,0,11
71,1037,1,0,12
72,1036,1,0,13
73,1036,1,0,13
74,1036,1,0,13
75,1036,1,0,13
76,1035,1,0,14
77,1035,1,0,14
78,1035,1,0,14
79,1035,1,0,14
80,1035,1,0,14
81,1035,1,0,14
82,1035,1,0,14
83,1035,1,0,14
84,1035,1,0,14
85,1035,1,0,14
86,1035,1,0,14
87,1034,1,0,15
88,1033,1,0,16
89,1033,1,0,16
90,1033,1,0,16
91,1033,1,0,16
92,1033,1,0,16
93,1033,1,0,16
94,1033,1,0,16
95,1033,1,0,16
96,1033,1,0,16
97,1033,1,0,16
98,1033,1,0,16
99,1033,1,0,16
100,1032,1,0,17
101,1032,1,0,17
102,1032,1,0,17
103,1032,1,0,17
104,1032,1,0,17
105,1032,1,0,17
106,1032,1,0,17
107,1032,1,0,17
108,1032,1,0,17
109,1032,1,0,17
110,1032,1,0,17
111,1032,1,0,17
112,1031,1,0,18
113,1030,1,0,19
114,1028,1,0,21
115,1028,1,0,21
116,1028,1,0,21
117,1028,1,0,21
118,1028,1,0,21
119,1028,1,0,21
120,1028,1,0,21
121,1026,1,0,23
122,1026,1,0,23
123,1026,1,0,23
124,1026,1,0,23
125,1026,1,0,23
126,1026,1,0,23
127,1026,1,0,23
128,1025,1,0,24
129,1025,1,0,24
130,1025,1,0,24
131,1024,1,0,25
132,1023,1,0,26
133,1022,2,0,26
134,1022,2,0,26
135,1022,3,0,25
136,1022,3,0,25
137,1022,3,0,25
138,1022,3,0,25
139,1021,3,0,26
140,1019,5,0,26
141,1018,5,0,27
142,1017,5,0,28
143,1016,5,0,29
144,1014,5,0,31
145,1013,5,0,32
146,1012,5,0,33
147,1011,5,0,34
