,0
0,1.0636363636363637
1,3.827272727272727
2,7.154545454545454
3,12.0
4,19.336363636363636
5,29.009090909090908
6,43.82727272727273
7,64.9
8,93.68181818181819
9,133.24545454545455
10,186.20909090909092
11,255.3090909090909
12,339.03636363636366
13,438.1272727272727
14,545.5818181818182
15,654.8363636363637
16,756.790909090909
17,844.0818181818182
18,911.6909090909091
19,961.5090909090909
20,995.1090909090909
21,1017.1272727272727
22,1031.3545454545454
23,1039.8909090909092
24,1044.6
25,1047.209090909091
26,1048.7363636363636
27,1049.490909090909
28,1049.8
29,1049.9
30,1049.9454545454546
31,1049.9636363636364
32,1049.9818181818182
33,1049.990909090909
