,0
0,1.0666666666666667
1,4.066666666666666
2,7.933333333333334
3,13.7
4,21.533333333333335
5,32.9
6,51.86666666666667
7,78.76666666666667
8,118.13333333333334
9,176.86666666666667
10,259.96666666666664
11,359.8666666666667
12,484.26666666666665
13,617.9333333333333
14,743.3333333333334
15,853.9
16,938.0
17,991.7666666666667
18,1022.5666666666667
19,1039.1666666666667
20,1046.3
21,1048.9
22,1049.7
23,1049.9
24,1049.9666666666667
25,1049.9666666666667
26,1050.0
27,1050.0
28,1050.0
29,1050.0
30,1050.0
