,Susceptible,Infected,Recovered,Exposed
0,1049,1,0,0
1,1049,1,0,0
2,1049,1,0,0
3,1049,1,0,0
4,1049,1,0,0
5,1049,1,0,0
6,1049,1,0,0
7,1049,1,0,0
8,1049,1,0,0
9,1049,1,0,0
10,1049,1,0,0
11,1049,1,0,0
12,1049,1,0,0
13,1049,1,0,0
14,1049,1,0,0
15,1048,1,0,1
16,1048,1,0,1
17,1048,1,0,1
18,1048,1,0,1
19,1048,1,0,1
20,1048,1,0,1
21,1048,1,0,1
22,1048,1,0,1
23,1048,1,0,1
24,1048,1,0,1
25,1048,1,0,1
26,1047,1,0,2
27,1047,1,0,2
28,1047,1,0,2
29,1047,1,0,2
30,1047,1,0,2
31,1046,1,0,3
32,1046,1,0,3
33,1046,1,0,3
34,1046,1,0,3
35,1046,1,0,3
36,1046,1,0,3
37,1046,1,0,3
38,1045,1,0,4
39,1045,1,0,4
40,1045,1,0,4
41,1044,1,0,5
42,1044,1,0,5
43,1044,1,0,5
44,1044,1,0,5
45,1044,1,0,5
46,1044,1,0,5
47,1044,1,0,5
48,1044,1,0,5
49,1044,1,0,5
50,1043,1,0,6
51,1043,1,0,6
52,1043,1,0,6
53,1042,1,0,7
54,1042,1,0,7
55,1042,1,0,7
56,1041,1,0,8
57,1040,1,0,9
58,1040,1,0,9
59,1040,1,0,9
60,1039,1,0,10
61,1039,1,0,10
62,1039,1,0,10
63,1038,1,0,11
64,1037,1,0,12
65,1037,1,0,12
66,1037,1,0,12
67,1037,1,0,12
68,1037,1,0,12
69,1037,1,0,12
70,1037,1,0,12
71,1036,1,0,13
72,1036,1,0,13
73,1035,1,0,14
74,1035,1,0,14
75,1035,1,0,14
76,1034,1,0,15
77,1034,1,0,15
78,1034,1,0,15
79,1034,1,0,15
80,1034,1,0,15
81,1034,1,0,15
82,1034,1,0,15
83,1034,1,0,15
84,1032,1,0,17
85,1032,1,0,17
86,1031,1,0,18
87,1031,1,0,18
88,1031,1,0,18
89,1031,1,0,18
90,1031,1,0,18
91,1031,1,0,18
92,1029,1,0,20
93,1028,1,0,21
94,1028,1,0,21
95,1028,1,0,21
96,1028,1,0,21
97,1028,1,0,21
98,1028,1,0,21
99,1027,1,0,22
100,1026,1,0,23
101,1026,1,0,23
102,1026,1,0,23
103,1026,1,0,23
104,1026,1,0,23
105,1026,1,0,23
106,1025,1,0,24
107,1025,1,0,24
108,1025,1,0,24
109,1025,1,0,24
110,1025,1,0,24
111,1025,1,0,24
112,1024,1,0,25
113,1024,1,0,25
114,1024,1,0,25
115,1024,1,0,25
116,1024,1,0,25
117,1024,1,0,25
118,1023,1,0,26
119,1023,1,0,26
120,1023,1,0,26
121,1023,1,0,26
122,1023,1,0,26
123,1023,1,0,26
124,1023,1,0,26
125,1023,1,0,26
126,1023,1,0,26
127,1023,1,0,26
128,1023,1,0,26
129,1022,1,0,27
130,1022,1,0,27
131,1021,1,0,28
132,1021,1,0,28
133,1021,1,0,28
134,1021,1,0,28
135,1020,1,0,29
136,1020,1,0,29
137,1019,1,0,30
138,1019,1,0,30
139,1019,1,0,30
140,1018,1,0,31
141,1018,1,0,31
142,1018,1,0,31
143,1016,1,0,33
144,1016,1,0,33
145,1015,1,0,34
146,1015,1,0,34
147,1015,1,0,34
