,Susceptible,Infected,Recovered,Exposed
0,1049,1,0,0
1,1049,1,0,0
2,1049,1,0,0
3,1049,1,0,0
4,1049,1,0,0
5,1049,1,0,0
6,1049,1,0,0
7,1049,1,0,0
8,1049,1,0,0
9,1049,1,0,0
10,1049,1,0,0
11,1049,1,0,0
12,1049,1,0,0
13,1048,1,0,1
14,1048,1,0,1
15,1048,1,0,1
16,1048,1,0,1
17,1048,1,0,1
18,1048,1,0,1
19,1048,1,0,1
20,1048,1,0,1
21,1047,1,0,2
22,1046,1,0,3
23,1046,1,0,3
24,1046,1,0,3
25,1045,1,0,4
26,1045,1,0,4
27,1044,1,0,5
28,1044,1,0,5
29,1044,1,0,5
30,1044,1,0,5
31,1044,1,0,5
32,1044,1,0,5
33,1044,1,0,5
34,1044,1,0,5
35,1044,1,0,5
36,1044,1,0,5
37,1044,1,0,5
38,1043,1,0,6
39,1042,1,0,7
40,1041,1,0,8
41,1041,1,0,8
42,1040,1,0,9
43,1040,1,0,9
44,1040,1,0,9
45,1040,1,0,9
46,1040,1,0,9
47,1039,1,0,10
48,1039,1,0,10
49,1038,1,0,11
50,1038,1,0,11
51,1038,1,0,11
52,1038,1,0,11
53,1038,1,0,11
54,1038,1,0,11
55,1038,1,0,11
56,1038,1,0,11
57,1038,1,0,11
58,1038,1,0,11
59,1036,1,0,13
60,1036,1,0,13
61,1036,1,0,13
62,1036,1,0,13
63,1036,1,0,13
64,1036,1,0,13
65,1035,1,0,14
66,1035,1,0,14
67,1034,1,0,15
68,1034,1,0,15
69,1034,1,0,15
70,1034,1,0,15
71,1034,1,0,15
72,1034,1,0,15
73,1034,1,0,15
74,1034,1,0,15
75,1034,1,0,15
76,1033,1,0,16
77,1032,1,0,17
78,1032,1,0,17
79,1032,1,0,17
80,1032,1,0,17
81,1031,1,0,18
82,1031,1,0,18
83,1030,1,0,19
84,1029,1,0,20
85,1029,1,0,20
86,1029,1,0,20
87,1029,1,0,20
88,1029,1,0,20
89,1028,1,0,21
90,1026,1,0,23
91,1025,1,0,24
92,1025,1,0,24
93,1024,1,0,25
94,1024,1,0,25
95,1024,1,0,25
96,1024,1,0,25
97,1024,1,0,25
98,1024,1,0,25
99,1024,1,0,25
100,1024,1,0,25
101,1024,1,0,25
102,1023,1,0,26
103,1022,1,0,27
104,1022,1,0,27
105,1022,1,0,27
106,1022,1,0,27
107,1022,1,0,27
108,1022,1,0,27
109,1022,1,0,27
110,1022,1,0,27
111,1022,1,0,27
112,1022,1,0,27
113,1020,1,0,29
114,1019,1,0,30
115,1018,1,0,31
116,1017,1,0,32
117,1016,1,0,33
118,1016,1,0,33
119,1016,1,0,33
120,1016,1,0,33
121,1013,1,0,36
122,1012,1,0,37
123,1012,1,0,37
124,1012,1,0,37
125,1010,1,0,39
126,1009,1,0,40
127,1009,1,0,40
128,1008,1,0,41
129,1008,1,0,41
130,1007,1,0,42
131,1007,1,0,42
132,1007,1,0,42
133,1006,1,0,43
134,1006,1,0,43
135,1006,1,0,43
136,1006,1,0,43
137,1006,1,0,43
138,1004,1,0,45
139,1004,2,0,44
140,1002,2,0,46
141,1002,2,0,46
142,1001,2,0,47
143,1001,2,0,47
144,999,2,0,49
145,998,2,0,50
146,998,3,0,49
147,998,4,0,48
